,MonitoringDate,MonitoringLocationIdentifier,COD,DIN,DIP,DO,TPH,pH,month,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
204,2020-08-01,415,1.63,0.086,0.003,9.1948,0.005,8.38,8,0,0,0,0,2,0,3,2,3
205,2020-10-01,415,1.24,0.102,0.005,8.461600000000002,0.009,8.09,10,0,0,0,0,2,0,3,2,3
206,2021-04-01,415,0.93,0.084,0.001,10.511449999999998,0.002,8.17,4,0,0,0,0,2,0,3,2,3
207,2021-07-01,415,1.01,0.08,0.0,8.05125,0.004,7.99,7,0,0,0,0,2,2,3,2,3
208,2021-10-01,415,1.07,0.11299999999999999,0.0075,9.105750000000004,0.006,8.105,10,0,0,0,0,2,0,3,2,3
209,2022-07-01,415,1.01,0.083,0.0,7.8826499999999955,0.004,7.78,7,0,0,0,0,0,2,0,0,3
210,2017-08-01,416,1.12,0.077,0.006,7.16015,0.015,8.1,8,0,0,0,2,0,2,0,0,3
211,2018-08-01,416,0.97,0.087,0.006,7.634899999999999,0.015,8.35,8,0,0,0,0,0,2,3,3,3
212,2019-07-01,416,1.15,0.115,0.0,7.859700000000001,0.005,8.02,7,0,0,0,0,0,2,3,0,3
213,2020-05-01,416,1.21,0.093,0.004,9.152799999999996,0.018,7.98,5,0,0,0,0,2,0,3,2,3
214,2020-08-01,416,0.97,0.191,0.0,8.482199999999995,0.0,8.35,8,0,0,0,0,2,0,3,2,3
215,2020-10-01,416,1.32,0.114,0.002,8.93075,0.01,8.15,10,0,0,0,0,2,0,3,2,3
216,2021-04-01,416,1.46,0.091,0.0,10.252550000000001,0.003,8.18,4,0,0,0,0,2,0,3,2,3
217,2021-07-01,416,1.15,0.115,0.0,7.859700000000001,0.005,8.02,7,0,0,0,0,0,2,3,0,3
218,2021-10-01,416,1.145,0.112,0.003,9.397449999999997,0.006,8.129999999999999,10,0,0,0,0,2,0,3,2,3
219,2022-07-01,416,1.14,0.103,0.0,7.843649999999997,0.003,7.8,7,0,0,0,0,0,2,3,0,3
220,2017-08-01,417,1.2,0.095,0.005,6.9681500000000005,0.017,8.08,8,0,0,0,2,0,2,2,0,3
221,2018-08-01,417,1.2,0.095,0.005,7.635249999999997,0.017,8.35,8,0,0,0,0,0,2,3,3,3
222,2019-07-01,417,1.13,0.218,0.0,7.462999999999997,0.003,8.03,7,0,0,0,0,0,2,0,0,3
223,2020-05-01,417,0.45,0.071,0.003,9.2728,0.014,7.98,5,0,0,0,0,2,0,3,2,3
224,2020-08-01,417,1.28,0.196,0.001,9.04675,0.0,8.43,8,0,0,0,0,2,0,3,2,3
225,2020-10-01,417,1.46,0.106,0.002,7.462799999999994,0.023,8.18,10,0,0,0,0,0,2,2,0,3
226,2021-04-01,417,1.35,0.07,0.0,10.284300000000004,0.004,8.13,4,0,0,0,0,2,0,3,2,3
